Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
00:00.0,10461.71,11499,10440.01,11413.78,6725.663497,00:00.0,74365486.38,57106,3428.905738,37887530.87,0
00:00.0,11413.78,11878.82,11230,11700,8457.279404,00:00.0,97771051.83,72808,4198.721628,48543385.15,0
00:00.0,11696.99,11700.06,10888,11541.94,7545.898796,00:00.0,85145570.7,57907,3534.985351,39894562.75,0
00:00.0,11535,11742.95,10635.3,10961.97,8087.01216,00:00.0,89673265.13,63826,3853.568207,42748266.8,0
00:00.0,10960,11435,10360,10830.52,8231.732797,00:00.0,89451661.01,61750,3940.318137,42802180.45,0
00:00.0,10830.52,11333,10601,11069.72,5488.382275,00:00.0,60487786.6,41705,2846.557214,31374040.07,0
00:00.0,11060,11596,10950,11530.22,5898.414912,00:00.0,67322926.99,45429,2947.730148,33649960.02,0
00:00.0,11535.18,11795,11123,11400,6420.48879,00:00.0,74050227.72,52853,3183.963412,36732251.56,0
00:00.0,11383.16,11700,11003,11160.5,5110.596379,00:00.0,57852358.42,44985,2319.545747,26274823.16,0
00:00.0,11141.1,11487.39,11061.22,11474.98,2979.760268,00:00.0,33608538.47,26549,1633.301697,18426421.62,0
00:00.0,11474.98,11795,11412.45,11749.93,3661.42197,00:00.0,42589914.1,28403,1976.08298,22991696.01,0
00:00.0,11749.91,12869,11545,12660.98,9899.460966,00:00.0,122980195.5,74137,4817.510068,59736511.65,0
00:00.0,12660.98,12835,12300,12320.01,4266.527722,00:00.0,53678337.94,37823,2181.602932,27473863.16,0
00:00.0,12320.05,12700,12240.24,12539.05,3472.518676,00:00.0,43451311.36,34644,1597.252046,19995494.12,0
00:00.0,12539.08,13099,12535,12770.02,4922.859331,00:00.0,63265474.24,47758,2457.158345,31568773.4,0
00:00.0,12779.53,12929.97,12600,12799.94,2546.069162,00:00.0,32595874.67,28882,1359.589634,17417319.56,0
00:00.0,12799.8,12799.8,12201,12400,5130.624885,00:00.0,63941412.3,45058,2362.247223,29444451.96,0
00:00.0,12409.96,12410,11300,11701.14,9978.489419,00:00.0,118759813.6,82638,4902.15051,58368784.18,0
00:00.0,11721.43,12194.18,11515,12194.18,6688.411092,00:00.0,78934804.73,56293,3627.786247,42824115.8,0
00:00.0,12194.18,12291.35,11403,11412,5842.031897,00:00.0,69380562.99,54822,2757.469164,32723838.28,0
00:00.0,11420.99,11548.99,11024,11356.99,8398.565957,00:00.0,94505591.98,74057,4238.555893,47720457.32,0
00:00.0,11356.99,11542.39,10965,11530,5341.650176,00:00.0,59767045.2,47339,2686.551024,30072802.44,0
00:00.0,11530,11770,11149,11502.93,5103.973188,00:00.0,58610903.91,45304,2504.194821,28752478.15,0
00:00.0,11480.56,11765,11400,11743.97,4492.376024,00:00.0,52076116.71,40054,2204.818425,25567626.48,0
00:00.0,11745,11926.35,11231,11240,4390.403349,00:00.0,51229074.06,42891,2110.254592,24634433.74,0
00:00.0,11240,11380,10139.97,10330,14109.4601,00:00.0,150913337.6,109483,6616.476634,70773370.9,0
00:00.0,10330.06,10750,10231,10540.71,6780.8823,00:00.0,71148447.34,57033,3464.922071,36370306.72,0
00:00.0,10507.01,10849,9900.24,10760.05,8875.51183,00:00.0,91738634.6,68499,4399.909285,45579263.14,0
00:00.0,10760.05,10998,10502,10835,5031.535467,00:00.0,54136162.11,45937,2527.625475,27201360.87,0
00:00.0,10830.82,10941.54,10108.4,10250,6406.772069,00:00.0,66704053.79,55461,3063.599597,31928628.54,0
00:00.0,10250.85,10645.06,9905,10143.1,5818.293436,00:00.0,59811665.63,54610,2853.509717,29411765.3,0
00:00.0,10143.01,10770.54,9987.02,10750,6732.222401,00:00.0,69655055.33,60175,3705.040976,38386455.86,0
00:00.0,10750,11399,10740,10952.98,8641.766165,00:00.0,96060756.16,89849,4331.138778,48124177.54,0
00:00.0,10952.96,11199,10678,10799.18,4843.333014,00:00.0,53051720.21,49254,2266.879285,24847131.16,0
00:00.0,10799.14,10894.08,10503,10820.32,4205.301336,00:00.0,44902596.01,43769,1982.923847,21179399.64,0
00:00.0,10820.32,11100.1,10500,10956,4565.207538,00:00.0,49201157.64,47186,2291.68718,24707840.04,0
00:00.0,10955.99,11234,10729,11111,4105.795217,00:00.0,45192242.28,43288,1863.506047,20518105.23,0
00:00.0,11111,11570.48,11022,11070.09,7581.661758,00:00.0,85608246.81,79136,3637.479909,41065373.39,0
00:00.0,11070.09,11285.99,10862.08,11235.28,3826.549969,00:00.0,42351542.66,44477,1865.604533,20648393.7,0
00:00.0,11235.28,11390,11057,11349.99,2874.071944,00:00.0,32214822.03,35573,1446.191572,16216109.63,0
00:00.0,11349.96,11794.05,11248.48,11688.5,4505.1983,00:00.0,51700470.31,47536,2263.083905,25982496.32,0
00:00.0,11691.28,11691.28,11430,11460,3712.389547,00:00.0,42929238.41,40300,1771.271539,20485948.4,0
00:00.0,11465.91,11483.98,11147.07,11215,3271.206106,00:00.0,37028594.87,36367,1548.736077,17525931.45,0
00:00.0,11215,11327.73,10959,10999,3855.514966,00:00.0,43013618.21,40442,1756.616352,19609683.7,0
00:00.0,10998.99,11303.9,10950.21,11237.57,3193.623586,00:00.0,35503242.34,31838,1753.121274,19502796.52,0
00:00.0,11230,11395,11111,11175.27,2302.021678,00:00.0,25906200.83,24557,1108.557772,12477831.86,0
00:00.0,11184.7,11643,11160.43,11507.34,3377.241964,00:00.0,38610910.49,33840,1898.80031,21700203.32,0
00:00.0,11507.36,11555,11010,11010,3269.703914,00:00.0,36879877.33,32378,1413.734364,16001399.47,0
00:00.0,11010.09,11034.95,10311.15,10513.97,11290.86185,00:00.0,119782369.5,95400,5249.521462,55682675.64,0
00:00.0,10510,11147.85,10410,11147.85,7721.121087,00:00.0,83212217.1,66519,3348.110096,36028741.11,0
00:00.0,11147.84,11399,10868.8,10933,5122.93022,00:00.0,57056328.6,57300,2328.206196,25927328.84,0
